Date,DPZ
2004-07-13,13.5
2004-07-14,13.44
2004-07-15,13.84
2004-07-16,13.83
2004-07-19,13.52
2004-07-20,13.93
2004-07-21,13.6
2004-07-22,13.6
2004-07-23,13.56
2004-07-26,13.2
2004-07-27,12.75
2004-07-28,13.03
2004-07-29,13.78
2004-07-30,13.9
2004-08-02,13.7
2004-08-03,13.94
2004-08-04,13.9
2004-08-05,13.89
2004-08-06,13.8
2004-08-09,13.7
2004-08-10,13.79
2004-08-11,13.7
2004-08-12,13.63
2004-08-13,13.4
2004-08-16,13.48
2004-08-17,13.45
2004-08-18,13.61
2004-08-19,13.3
2004-08-20,13.64
2004-08-23,13.85
2004-08-24,13.8
2004-08-25,13.8
2004-08-26,13.7
2004-08-27,14.04
2004-08-30,14.02
2004-08-31,14.25
2004-09-01,14.45
2004-09-02,14.3
2004-09-03,14.0
2004-09-07,13.87
2004-09-08,13.79
2004-09-09,13.78
2004-09-10,14.37
2004-09-13,14.35
2004-09-14,14.83
2004-09-15,15.22
2004-09-16,15.48
2004-09-17,15.2
2004-09-20,15.25
2004-09-21,15.4
2004-09-22,15.11
2004-09-23,14.97
2004-09-24,15.04
2004-09-27,14.88
2004-09-28,15.25
2004-09-29,15.05
2004-09-30,14.7
2004-10-01,14.6
2004-10-04,14.98
2004-10-05,15.32
2004-10-06,15.9
2004-10-07,15.91
2004-10-08,15.95
2004-10-11,16.0
2004-10-12,15.96
2004-10-13,16.16
2004-10-14,15.89
2004-10-15,15.98
2004-10-18,15.9
2004-10-19,15.59
2004-10-20,15.61
2004-10-21,15.78
2004-10-22,15.85
2004-10-25,15.93
2004-10-26,15.88
2004-10-27,15.94
2004-10-28,15.93
2004-10-29,16.4
2004-11-01,16.799999
2004-11-02,16.9
2004-11-03,16.879998999999998
2004-11-04,16.68
2004-11-05,17.0
2004-11-08,16.809998999999998
2004-11-09,16.65
2004-11-10,16.870001000000002
2004-11-11,17.73
2004-11-12,17.98
2004-11-15,17.65
2004-11-16,17.4
2004-11-17,17.5
2004-11-18,17.450001
2004-11-19,17.549999
2004-11-22,17.5
2004-11-23,17.84
2004-11-24,17.84
2004-11-26,17.91
2004-11-29,17.85
2004-11-30,17.950001
2004-12-01,18.219998999999998
2004-12-02,18.49
2004-12-03,18.6
