Date,MER
2019-02-15,355.0
2019-02-19,359.0
2019-02-20,372.0
2019-02-21,374.0
2019-02-22,375.0
2019-02-25,375.0
2019-02-26,375.600006
2019-02-27,379.0
2019-02-28,367.600006
2019-03-01,367.0
2019-03-04,370.200012
2019-03-05,368.200012
2019-03-06,377.799988
2019-03-07,376.0
2019-03-08,376.0
2019-03-11,367.399994
2019-03-12,373.0
2019-03-13,375.399994
2019-03-14,376.399994
2019-03-15,376.0
2019-03-18,378.0
2019-03-19,375.0
2019-03-20,375.0
2019-03-21,378.799988
2019-03-22,384.399994
2019-03-25,378.600006
2019-03-26,375.799988
2019-03-27,377.799988
2019-03-28,377.399994
2019-03-29,380.600006
2019-04-01,381.0
2019-04-02,381.200012
2019-04-03,377.799988
2019-04-04,375.600006
2019-04-05,378.799988
2019-04-08,378.0
2019-04-09,378.0
2019-04-10,384.799988
2019-04-11,381.0
2019-04-12,378.600006
2019-04-15,380.0
2019-04-16,373.600006
2019-04-17,379.0
2019-04-18,379.0
2019-04-22,380.0
2019-04-23,382.600006
2019-04-24,382.799988
2019-04-25,385.0
2019-04-26,384.0
2019-04-29,383.0
2019-04-30,385.0
2019-05-01,385.0
2019-05-02,387.0
2019-05-03,385.600006
2019-05-06,382.600006
2019-05-07,381.799988
2019-05-08,380.0
2019-05-09,373.0
2019-05-10,371.200012
2019-05-13,371.200012
2019-05-14,364.200012
2019-05-15,359.0
2019-05-16,356.0
2019-05-17,360.0
2019-05-20,356.200012
2019-05-21,374.0
2019-05-22,375.0
2019-05-23,378.799988
2019-05-24,378.0
2019-05-28,372.399994
2019-05-29,378.799988
2019-05-30,379.0
2019-05-31,385.0
2019-06-03,389.200012
2019-06-04,390.799988
2019-06-05,
2019-06-06,389.0
2019-06-07,388.799988
2019-06-10,
2019-06-11,
2019-06-12,
2019-06-13,
2019-06-14,
2019-06-17,
2019-06-18,
2019-06-19,
2019-06-20,
2019-06-21,
2019-06-24,
2019-06-25,
2019-06-26,
2019-06-27,
2019-06-28,
2019-07-01,
2019-07-02,
2019-07-03,
2019-07-05,
2019-07-08,
2019-07-09,
2019-07-10,
2019-07-11,
2019-07-12,
2019-07-15,
2019-07-16,
2019-07-17,
2019-07-18,
2019-07-19,
2019-07-22,
2019-07-23,
2019-07-24,
2019-07-25,
2019-07-26,
2019-07-29,
2019-07-30,
2019-07-31,
2019-08-01,
2019-08-02,
2019-08-05,
2019-08-06,
2019-08-07,
2019-08-08,
2019-08-09,
2019-08-12,
2019-08-13,
2019-08-14,
2019-08-15,
2019-08-16,
2019-08-19,
2019-08-20,
2019-08-21,
2019-08-22,
2019-08-23,
2019-08-26,
2019-08-27,
2019-08-28,
2019-08-29,
2019-08-30,
2019-09-03,
2019-09-04,
2019-09-05,
2019-09-06,
2019-09-09,
2019-09-10,
2019-09-11,
2019-09-12,
2019-09-13,
2019-09-16,
2019-09-17,
2019-09-18,
2019-09-19,
2019-09-20,
2019-09-23,
2019-09-24,
2019-09-25,
2019-09-26,
2019-09-27,
2019-09-30,
2019-10-01,
2019-10-02,
2019-10-03,
2019-10-04,
2019-10-07,
2019-10-08,
2019-10-09,
2019-10-10,
2019-10-11,
2019-10-14,
2019-10-15,
2019-10-16,
2019-10-17,
2019-10-18,
2019-10-21,
2019-10-22,
2019-10-23,
2019-10-24,
2019-10-25,
2019-10-28,
2019-10-29,
2019-10-30,
2019-10-31,
2019-11-01,
2019-11-04,
2019-11-05,
2019-11-06,
2019-11-07,
2019-11-08,
2019-11-11,
2019-11-12,
2019-11-13,
2019-11-14,
2019-11-15,
2019-11-18,
2019-11-19,
2019-11-20,
2019-11-21,
2019-11-22,
2019-11-25,
2019-11-26,
2019-11-27,
2019-11-29,
2019-12-02,
2019-12-03,
2019-12-04,
2019-12-05,
2019-12-06,
2019-12-09,
2019-12-10,
2019-12-11,
2019-12-12,
2019-12-13,
2019-12-16,
2019-12-17,
2019-12-18,
2019-12-19,
2019-12-20,
2019-12-23,
2019-12-24,
2019-12-26,
2019-12-27,
2019-12-30,
2019-12-31,
2020-01-02,
2020-01-03,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
